firstname,lastname,ilkid,year,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Baron,Davis,DavisBa01 ,2002.0,1.0,14.5,4.5,0.5,0.0,0.5,6.0,0.5,0.0,2.0,0.5,6.5,2.0,0.0,0.0,4.0,0.5
Ben,Wallace,WallaBe01 ,2002.5,1.0,23.5,3.0,3.5,3.0,6.5,0.0,2.5,1.5,1.0,0.5,3.5,1.5,1.0,0.0,0.5,0.0
Bill,Melchionni,MelchBi01 ,1972.0,1.0,24.0,4.0,5.0,3.0,8.0,2.0,1.0,0.0,4.0,1.0,6.0,1.0,2.0,2.0,0.0,0.0
Billy,Cunningham,CunniBi01 ,1972.0,1.0,20.0,18.0,6.0,0.0,6.0,4.0,1.0,0.0,3.0,6.0,12.0,9.0,0.0,0.0,1.0,0.0
Billy,Paultz,PaultBi01 ,1973.0,1.0,16.5,3.5,3.0,1.5,4.5,3.5,0.5,1.5,1.0,2.0,5.0,1.5,0.5,0.5,0.0,0.0
Brad,Miller,MilleBr01 ,2002.5,1.0,13.5,6.5,2.5,2.0,4.5,1.5,0.0,0.0,2.0,1.0,4.5,3.0,1.0,0.5,0.0,0.0
Brian,Taylor,TayloBr01 ,1974.0,1.0,21.0,21.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,4.0,13.0,9.0,5.0,3.0,0.0,0.0
Caldwell,Jones,JonesCa01 ,1974.0,1.0,15.0,5.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0
Chris,Gatling,GatliCh01 ,1996.0,1.0,12.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
Chris,Webber,WebbeCh01 ,1999.0,1.0,19.0,7.5,3.25,2.75,6.0,3.25,1.0,0.0,2.0,2.25,8.75,3.25,2.0,0.75,0.75,0.25
Christian,Laettner,LaettCh01 ,1996.0,1.0,24.0,7.0,7.0,4.0,11.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0
Chuck,Williams,WilliCh02 ,1972.0,1.0,16.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0
